# material=I density=4.94
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 3.250219e-01
2.397170e+02 3.181893e-01
2.435950e+02 3.115024e-01
2.475350e+02 3.049557e-01
2.515380e+02 2.985451e-01
2.556070e+02 2.922708e-01
2.597410e+02 2.883793e-01
2.639420e+02 2.853505e-01
2.682110e+02 2.823533e-01
2.725490e+02 2.793869e-01
2.769570e+02 2.764522e-01
2.814370e+02 2.735485e-01
2.859890e+02 2.706756e-01
2.906150e+02 2.706295e-01
2.953150e+02 2.706528e-01
3.000920e+02 2.706763e-01
3.049450e+02 2.719401e-01
3.098780e+02 2.741010e-01
3.148900e+02 2.762786e-01
3.199830e+02 2.784734e-01
3.251580e+02 2.806852e-01
3.304180e+02 2.829155e-01
3.357620e+02 2.851630e-01
3.411920e+02 2.877976e-01
3.467110e+02 2.926709e-01
3.523190e+02 2.976262e-01
3.580170e+02 3.026650e-01
3.638080e+02 3.077900e-01
3.696920e+02 3.130009e-01
3.756720e+02 3.183010e-01
3.817480e+02 3.236899e-01
3.879220e+02 3.291699e-01
3.941970e+02 3.347440e-01
4.005730e+02 3.405121e-01
4.070520e+02 3.480489e-01
4.136350e+02 3.557515e-01
4.203260e+02 3.636260e-01
4.271240e+02 3.716733e-01
4.340320e+02 3.798992e-01
4.410520e+02 3.883074e-01
4.481860e+02 3.969019e-01
4.554350e+02 4.056866e-01
4.628020e+02 4.146660e-01
4.702870e+02 4.248676e-01
4.778940e+02 4.362520e-01
4.856230e+02 4.479400e-01
4.934780e+02 4.599431e-01
5.014590e+02 4.722659e-01
5.095700e+02 4.849191e-01
5.178120e+02 4.979475e-01
5.261870e+02 5.113480e-01
5.346980e+02 5.251092e-01
5.433460e+02 5.392398e-01
5.521340e+02 5.537516e-01
5.610650e+02 5.686541e-01
5.701390e+02 5.839567e-01
5.793610e+02 5.981713e-01
5.887320e+02 6.122566e-01
5.982540e+02 6.266522e-01
6.079300e+02 6.413876e-01
6.177630e+02 6.564700e-01
6.199000e+02 6.597619e-01
6.201000e+02 9.220870e-02
6.277550e+02 9.538981e-02
6.379080e+02 9.971568e-02
6.482260e+02 1.042378e-01
6.587110e+02 1.089655e-01
6.693650e+02 1.139105e-01
6.801910e+02 1.187537e-01
6.911930e+02 1.235326e-01
7.023720e+02 1.283841e-01
7.137330e+02 1.334090e-01
7.252770e+02 1.386180e-01
7.370080e+02 1.440397e-01
7.489280e+02 1.496673e-01
7.610420e+02 1.555044e-01
7.733510e+02 1.614951e-01
7.858590e+02 1.674289e-01
7.985700e+02 1.733334e-01
8.114860e+02 1.794358e-01
8.246110e+02 1.857608e-01
8.379490e+02 1.923151e-01
8.515020e+02 1.962905e-01
8.652740e+02 1.972177e-01
8.792690e+02 1.953687e-01
8.934910e+02 1.935304e-01
9.079430e+02 1.917063e-01
9.226280e+02 1.898962e-01
9.375510e+02 1.939307e-01
9.527150e+02 1.995926e-01
9.681240e+02 2.068173e-01
9.837830e+02 2.143119e-01
9.996950e+02 2.220257e-01
1.015860e+03 2.299586e-01
1.032290e+03 2.376566e-01
1.048990e+03 2.454303e-01
1.065960e+03 2.532570e-01
1.083200e+03 2.613297e-01
1.100720e+03 2.696593e-01
